sort	code_glot	type_src	id_RefLex	name	genus	family_wals	lat	long
261	turk1306	RefLex	2738	curama (turka)	Gur	Niger-Congo	10.70	-4.96
262	limb1268	RefLex	2739	limbum	Bantoid	Niger-Congo	6.62	11.15
263	kwan1273	RefLex	2741	kwangari	Bantoid	Niger-Congo	-18.30	20.50
264	leha1242	RefLex	2744	laala	Northern Atlantic	Niger-Congo	14.95	-16.83
265	saaf1238	RefLex	2745	safen	Northern Atlantic	Niger-Congo	14.66	-17.00
266	baga1276	RefLex	2746	baga mboteni	Sua	Niger-Congo	10.64	-14.57
267	bamb1269	RefLex	2747	bambara	Western Mande	Niger-Congo	10.11	-6.99
268	nucl1347	RefLex	2748	wolof	Northern Atlantic	Niger-Congo	15.00	-16.10
269	bain1261	RefLex	2749	nyun (Nyamone)	Northern Atlantic	Niger-Congo	12.73	-16.33
270	ikkk1242	RefLex	2750	ik	Kuliak	Kuliak	3.65	34.35
271	orma1241	RefLex	2752	orma	Eastern Cushitic	Afro-Asiatic	-1.30	40.03
272	xooo1239	Phoible	NA	!Xoo	Tuu	Tuu	-24.2002	20.7958
273	aari1239	Phoible	NA	Aari	South Omotic	Afro-Asiatic	5.95034	36.5721
274	ache1245	Phoible	NA	Acheron	Talodi Proper	Talodi Proper	10.8827	30.3187
275	acol1236	Phoible	NA	Acoli	Nilotic	Nilotic	3.57738	32.5147
276	afit1238	Phoible	NA	Afitti	Nyimang	Nyimang	12.446	30.7611
277	akan1250	Phoible	NA	Akan	Kwa	Niger-Congo	6.34756	-1.33254
278	akoo1248	Phoible	NA	Akoose	Bantoid	Niger-Congo	4.9243	9.65522
279	alab1254	Phoible	NA	Alaba-K'abeena	Eastern Cushitic	Afro-Asiatic	7.39014	38.1732
280	amas1236	Phoible	NA	Ama (Sudan)	Nyimang	Nyimang	12.0993	29.4332
281	amha1245	Phoible	NA	Amharic	Semitic	Afro-Asiatic	11.7082	39.5435
282	anfi1235	Phoible	NA	Anfillo	North Omotic	Afro-Asiatic	8.568	34.647
283	ango1258	Phoible	NA	Angolar	Creoles and Pidgins	other	0.11438	6.59486
284	anua1242	Phoible	NA	Anuak	Nilotic	Nilotic	7.57714	34.0267
285	arbo1245	Phoible	NA	Arbore	Eastern Cushitic	Afro-Asiatic	4.92183	36.7986
286	argo1244	Phoible	NA	Argobba	Semitic	Afro-Asiatic	10.6596	39.756
287	awin1248	Phoible	NA	Awing	Bantoid	Niger-Congo	5.88362	10.264
288	awng1244	Phoible	NA	Awngi	Central Cushitic	Afro-Asiatic	10.9819	36.6916
289	awut1241	Phoible	NA	Awutu	Kwa	Niger-Congo	5.42441	-0.59545
290	bafa1249	Phoible	NA	Bafanji	Bantoid	Niger-Congo	5.84612	10.4518
291	bafu1246	Phoible	NA	Bafut	Bantoid	Niger-Congo	6.14153	10.1194
292	bagi1246	Phoible	NA	Bagirmi	Bongo-Bagirmi	Central Sudanic	11.5239	14.7695
293	baka1273	Phoible	NA	Bakaka	Bantoid	Niger-Congo	4.79991	9.80402
294	bako1249	Phoible	NA	Bakoko	Bantoid	Niger-Congo	3.56518	9.99905
295	bamb1265	Phoible	NA	Bambalang	Bantoid	Niger-Congo	5.861	10.544
296	bamb1262	Phoible	NA	Bambassi	North Omotic	Afro-Asiatic	9.82554	34.6522
297	bame1260	Phoible	NA	Bamenyam	Bantoid	Niger-Congo	5.77049	10.3302
298	bang1356	Phoible	NA	Bangolan	Bantoid	Niger-Congo	6.0125	10.667
299	bare1279	Phoible	NA	Barein	East Chadic	Afro-Asiatic	11.1168	18.0764
300	bata1285	Phoible	NA	Batanga	Bantoid	Niger-Congo	2.08708	9.75107
301	beem1239	Phoible	NA	Beembe	Bantoid	Niger-Congo	-3.95895	14.1
302	bemb1257	Phoible	NA	Bemba (Zambia)	Bantoid	Niger-Congo	-10.6122	29.2993
303	benc1235	Phoible	NA	Bench	North Omotic	Afro-Asiatic	7.04682	35.7673
304	bert1248	Phoible	NA	Berta	Berta	Berta	10.6474	34.7042
305	bial1238	Phoible	NA	Biali	Gur	Niger-Congo	11.0382	1.08259
306	bili1260	Phoible	NA	Bilin	Central Cushitic	Afro-Asiatic	15.7833	38.3917
307	biss1248	Phoible	NA	Bissa	Southeastern Mande	Niger-Congo	10.4257	-1.67332
308	bong1285	Phoible	NA	Bongo	Bongo-Bagirmi	Central Sudanic	7.4145	27.9918
309	bora1271	Phoible	NA	Borana-Arsi-Guji Oromo	Eastern Cushitic	Afro-Asiatic	1.05676	37.882
310	boro1277	Phoible	NA	Boro (Ethiopia)	North Omotic	Afro-Asiatic	10.6596	35.345
311	buku1249	Phoible	NA	Bukusu	Bantoid	Niger-Congo	0.68043	34.7719
312	burj1242	Phoible	NA	Burji	Eastern Cushitic	Afro-Asiatic	4.44624	38.4646
313	buru1301	Phoible	NA	Burun	Nilotic	Nilotic	10.725	33.921
314	came1252	Phoible	NA	Cameroon Mambila	Bantoid	Niger-Congo	6.43829	11.4195
315	cent2194	Phoible	NA	Central Atlas Tamazight	Berber	Afro-Asiatic	32.7415	-2.40872
